WorldCup,RK,Team,PTS
2006,21,TunisiaTUN,693.0
2006,22,UruguayURU,689.0
2006,23,IR IranIRN,686.0
2006,23,CroatiaCRO,686.0
2006,25,RomaniaROU,685.0
2006,26,Costa RicaCRC,683.0
2006,27,ColombiaCOL,681.0
2006,28,SenegalSEN,679.0
2006,29,PolandPOL,677.0
2006,29,Korea RepublicKOR,677.0
2006,31,Republic of IrelandIRL,671.0
2006,32,Côte d'IvoireCIV,669.0
2006,33,ParaguayPAR,653.0
2006,34,Saudi ArabiaKSA,651.0
2006,35,SwitzerlandSUI,648.0
2006,36,MoroccoMAR,646.0
2006,37,RussiaRUS,645.0
2006,37,BulgariaBUL,645.0
2006,39,EcuadorECU,631.0
2006,40,NorwayNOR,627.0
2006,41,SlovakiaSVK,613.0
2006,42,HondurasHON,612.0
2006,42,AustraliaAUS,612.0
2006,44,Serbia and MontenegroSCG,610.0
2006,45,UkraineUKR,609.0
2006,46,JamaicaJAM,607.0
2006,47,Trinidad and TobagoTRI,604.0
2006,48,GhanaGHA,600.0
2006,49,FinlandFIN,599.0
2006,49,IsraelISR,599.0
2006,51,GuineaGUI,597.0
2006,52,IraqIRQ,595.0
2006,53,South AfricaRSA,593.0
2006,54,BahrainBHR,588.0
2006,55,ZimbabweZIM,586.0
2006,56,BelgiumBEL,582.0
2006,57,AngolaANG,581.0
2006,57,ZambiaZAM,581.0
2006,59,ScotlandSCO,576.0
2006,60,UzbekistanUZB,571.0
2006,61,TogoTOG,569.0
2006,62,GuatemalaGUA,565.0
2006,63,Bosnia and HerzegovinaBIH,561.0
2006,64,ChileCHI,557.0
2006,65,BelarusBLR,553.0
2006,66,PeruPER,550.0
2006,66,MaliMLI,550.0
2006,68,China PRCHN,545.0
2006,69,Congo DRCOD,544.0
2006,70,LatviaLVA,541.0
2006,71,SloveniaSVN,539.0
2006,71,VenezuelaVEN,539.0
2006,71,United Arab EmiratesUAE,539.0
2006,74,KuwaitKUW,538.0
2006,74,WalesWAL,538.0
2006,76,HungaryHUN,535.0
2006,77,EstoniaEST,534.0
2006,78,QatarQAT,533.0
2006,79,AustriaAUT,531.0
2006,80,CubaCUB,527.0
2006,81,PanamaPAN,523.0
2006,82,OmanOMA,519.0
2006,83,CanadaCAN,515.0
2006,84,JordanJOR,513.0
2006,85,AlbaniaALB,512.0
2006,86,LibyaLBY,511.0
2006,87,AlgeriaALG,505.0
2006,88,Korea DPRPRK,503.0
2006,89,Burkina FasoBFA,500.0
2006,90,SyriaSYR,496.0
2006,91,FYR MacedoniaMKD,489.0
2006,92,SingaporeSGP,482.0
2006,93,LithuaniaLTU,481.0
2006,94,RwandaRWA,476.0
2006,95,KenyaKEN,471.0
2006,96,Northern IrelandNIR,469.0
2006,97,UgandaUGA,468.0
2006,97,SudanSDN,468.0
2006,99,IcelandISL,463.0
2006,100,CyprusCYP,462.0
2006,101,GeorgiaGEO,459.0
2006,102,BoliviaBOL,456.0
2006,103,BotswanaBOT,454.0
2006,104,MoldovaMDA,452.0
2006,105,GabonGAB,448.0
2006,106,HaitiHAI,447.0
2006,107,MalawiMWI,436.0
2006,108,ThailandTHA,435.0
2006,109,ArmeniaARM,416.0
2006,110,IndonesiaIDN,402.0
2006,111,CongoCGO,397.0
2006,112,AzerbaijanAZE,392.0
2006,112,EthiopiaETH,392.0
2006,114,BeninBEN,387.0
2006,115,PalestinePLE,384.0
2006,116,Hong KongHKG,381.0
2006,117,IndiaIND,378.0
2006,118,New ZealandNZL,376.0
2006,119,BarbadosBRB,372.0
2006,120,TurkmenistanTKM,371.0
2006,121,TajikistanTJK,369.0
2006,122,LebanonLBN,368.0
2006,123,LiechtensteinLIE,360.0
2006,123,Cape Verde IslandsCPV,360.0
2006,125,MaltaMLT,359.0
2006,126,VietnamVIE,353.0
2006,127,MozambiqueMOZ,346.0
2006,127,MalaysiaMAS,346.0
2006,129,AndorraAND,343.0
2006,129,El SalvadorSLV,343.0
2006,131,St. LuciaLCA,331.0
2006,132,YemenYEM,327.0
2006,133,St. Kitts and NevisSKN,325.0
2006,133,St. Vincent and the GrenadinesVIN,325.0
2006,135,KazakhstanKAZ,319.0
2006,136,Sri LankaSRI,318.0
2006,137,MaldivesMDV,315.0
2006,138,EswatiniSWZ,314.0
2006,139,Faroe IslandsFRO,313.0
2006,140,BangladeshBAN,307.0
2006,141,LesothoLES,306.0
2006,142,FijiFIJ,305.0
2006,143,LiberiaLBR,304.0
2006,144,Solomon IslandsSOL,293.0
2006,145,TahitiTAH,287.0
2006,146,MauritiusMRI,274.0
2006,147,Kyrgyz RepublicKGZ,273.0
2006,148,VanuatuVAN,257.0
2006,149,MyanmarMYA,255.0
2006,150,BurundiBDI,254.0
2006,151,MadagascarMAD,252.0
2006,152,LuxembourgLUX,248.0
2006,153,PakistanPAK,247.0
2006,154,Equatorial GuineaEQG,244.0
2006,155,GrenadaGRN,240.0
2006,156,Chinese TaipeiTPE,239.0
2006,157,NicaraguaNCA,237.0
2006,158,SurinameSUR,235.0
2006,159,ChadCHA,234.0
2006,160,Antigua and BarbudaATG,233.0
2006,161,San MarinoSMR,229.0
2006,162,GuyanaGUY,211.0
2006,162,BermudaBER,211.0
2006,164,NamibiaNAM,209.0
2006,165,Sierra LeoneSLE,207.0
2006,166,GambiaGAM,198.0
2006,167,TanzaniaTAN,193.0
2006,168,Papua New GuineaPNG,185.0
2006,169,NepalNEP,184.0
2006,171,EritreaERI,174.0
2006,172,LaosLAO,173.0
2006,173,British Virgin IslandsVGB,169.0
2006,174,DominicaDMA,164.0
2006,175,Dominican RepublicDOM,151.0
2006,176,SeychellesSEY,147.0
2006,177,NigerNIG,138.0
2006,178,MauritaniaMTN,134.0
2006,179,MongoliaMNG,133.0
2006,180,BelizeBLZ,129.0
2006,181,Central African RepublicCTA,128.0
2006,182,Cayman IslandsCAY,127.0
2006,183,SamoaSAM,125.0
2006,184,CambodiaCAM,112.0
2006,185,SomaliaSOM,110.0
2006,186,Guinea-BissauGNB,107.0
2006,187,TongaTGA,105.0
2006,188,AfghanistanAFG,102.0
2006,188,New CaledoniaNCL,102.0
2006,190,BhutanBHU,88.0
2006,191,PhilippinesPHI,84.0
2006,192,MacauMAC,83.0
2006,193,Brunei DarussalamBRU,73.0
2006,194,BahamasBAH,64.0
2006,195,Cook IslandsCOK,61.0
2006,196,Puerto RicoPUR,60.0
2006,197,US Virgin IslandsVIR,55.0
2006,198,Sao Tome e PrincipeSTP,52.0
2006,199,AnguillaAIA,50.0
2006,200,DjiboutiDJI,45.0
2006,201,ArubaARU,44.0
2006,202,MontserratMSR,29.0
2006,203,GuamGUM,22.0
2006,204,Turks and Caicos IslandsTCA,21.0
2006,205,American SamoaASA,14.0
2010,1,BrazilBRA,1611.0
2010,2,SpainESP,1565.0
2010,3,PortugalPOR,1249.0
2010,4,NetherlandsNED,1231.0
2010,5,ItalyITA,1184.0
2010,6,GermanyGER,1082.0
2010,7,ArgentinaARG,1076.0
2010,8,EnglandENG,1068.0
2010,9,FranceFRA,1044.0
2010,10,CroatiaCRO,1041.0
2010,11,RussiaRUS,1015.0
2010,12,EgyptEGY,967.0
2010,13,GreeceGRE,964.0
2010,14,USAUSA,957.0
2010,15,SerbiaSRB,947.0
2010,16,UruguayURU,899.0
2010,17,MexicoMEX,895.0
2010,18,ChileCHI,888.0
2010,19,CameroonCMR,887.0
2010,20,AustraliaAUS,886.0
2010,21,NigeriaNGA,883.0
2010,22,NorwayNOR,882.0
2010,23,UkraineUKR,875.0
2010,24,SwitzerlandSUI,866.0
2010,25,SloveniaSVN,860.0
2010,26,IsraelISR,857.0
2010,27,Côte d'IvoireCIV,856.0
2010,28,RomaniaROU,853.0
2010,29,TurkeyTUR,830.0
2010,30,AlgeriaALG,821.0
2010,31,ParaguayPAR,820.0
2010,32,GhanaGHA,800.0
2010,33,Czech RepublicCZE,793.0
2010,34,SlovakiaSVK,777.0
2010,35,ColombiaCOL,776.0
2010,36,DenmarkDEN,767.0
2010,37,SwedenSWE,761.0
2010,38,HondurasHON,734.0
2010,39,BulgariaBUL,711.0
2010,40,Costa RicaCRC,710.0
2010,41,Republic of IrelandIRL,709.0
2010,42,GabonGAB,700.0
2010,43,ScotlandSCO,699.0
2010,44,EcuadorECU,694.0
2010,45,JapanJPN,682.0
2010,46,LatviaLVA,652.0
2010,47,Korea RepublicKOR,632.0
2010,48,Burkina FasoBFA,611.0
2010,49,VenezuelaVEN,608.0
2010,49,LithuaniaLTU,608.0
2010,51,Bosnia and HerzegovinaBIH,604.0
2010,52,FinlandFIN,584.0
2010,53,PeruPER,578.0
2010,54,MaliMLI,575.0
2010,55,TunisiaTUN,574.0
2010,56,Northern IrelandNIR,566.0
2010,57,HungaryHUN,565.0
2010,58,PolandPOL,561.0
2010,59,BelgiumBEL,541.0
2010,60,BeninBEN,531.0
